Cognate_ID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
431_shyashamedvi	j ɛ n	w ɛ n	j ɛ n	w ɛ n	w a n	w ɛ n	w a n	w a n
432_sickvi	n a	n u	n a	k u + n u	n u ŋ	n u ŋ	n u	n u
433_silver	ŋ ɔi	n i ŋ	ŋ ɔj~uj/ui	n i ŋ	n i ŋ	n i ŋ	ɲ i n	ɲ i n
434_sing	t ɛi	t ɛː	t ei	t aː	t ɛː		t aː	
435_sisterinlaw	a + ʑ a	a + z uː	a + ʑ a	a + ʐ uː	a + z uː	a + z uː	a + z uː	a + z uː + m a t
436_sisterelder	a + w u	a + b yː	a + w u	a + b yː				
437_sisteryounger	a + n u	m ə + r i ŋ	ɔ + n ɔu + m a		a + n u + m	a + n u + m	a + n uː + a + tɕ a n + d u	m ə + r i ŋ
438_sit	d u ŋ + dʑ u	d y ŋ		d y ŋ	d y ŋ	d y ŋ	d y ŋ	d u ŋ
439_six	tɕʰ u p~k/p	tɕʰ y k	tɕʰ u p	tɕʰ y k	tɕʰ y k	tɕʰ y k	kʰ y t	tɕʰ u k
43_belt	b u + kʰ a k	m ə + kʰ ɐ k	b u + kʰ a k	b u + kʰ ɐ k	m ə + kʰ a k	m ə + kʰ a k	m ə + kʰ a k	m ə + kʰ a k
440_skinbark	ɕ a + kʰ ɔ k	s + k~kʰ/kʰ u k	ɕ a + kʰ ɔ k	ʂ + kʰ u k	s + k u k	s + k~kʰ/k u k	s + k u k	s + k u k
441_sky	n a + m u	n ə + m yː	n a + m u~ɔː/u	n a + m yː	n ə + m yː	n ə + m yː	n ə + m yː	n i + m iː
442_sleep	b i n	dʑ i ŋ	b i n	dz i ŋ	dʑ i ŋ	dʑ i ŋ	dz i ŋ	dz i ŋ
443_slowly	h a s + t a	a + n ɐ̃ + d u	h a ɕ + t a	n ɐ̃ + d u	a + n ɔ̃ + d u	n ɔ̃ + d u	n ɔ̃ + d u	a + n ɔ̃ + d u
444_small	dʑ ɛ n	a + tɕ ɐ̃ː (n)/n	dʑ ɛ n	a + dz ɐ̃ː + d u	a + dʑ a n + d u	tɕ ɔ̃ː (n)/n + d u	a + tɕ a n + d u	a + tɕ a n + d u
445_smelln	ɕ i s		ɕ i s				s ĩː	
446_smellvi	h a m	n a n	h a m	n a n	n iː	n iː	ɲ i ŋ	ɲ i ŋ
447_smoke	b u + kʰ u	b a + kʰ yː	b u + kʰ u	b a + kʰ yː	b a + kʰ yː	b a + kʰ yː	b a + kʰ yː	b a + kʰ yː
448_snake		pʰ + tɕʰ ɛ n		b ə + tɕʰ a n	pʰ + tɕʰ a m	pʰ + tɕʰ a m	b ə + ʨʰ~cʰ/ʨʰ a m	pʰ + tɕʰ a m
449_snatchaway	kʰ ɔu						kʰ au	
44_big	ɔ + d ɔ k	a + d ɔ k	ɔ + d ɔ k	a + d ɔ k	a + d ɔ k	a + d ɔ k	a + d ɔ k	a + d ɔ k
450_snow	n a m + ʑ u	n ə + j yː	n a m + ʑ u	n a + j yː	n ə + j yː	n ə + j yː	n y + j yː	n i + j iː
451_sodaash	kʰ a + r i			kʰ a + r iː		kʰ + r iː	kʰ + r iː	
452_softsmooth		a + d u ŋ + d u		a + d u ŋ + d u	a + d u ŋ + d u	a + d u ŋ + d u	a + d u ŋ + d u	a + d u ŋ + d u
453_soilearth	s a	s ɐ	s a	s ɐ	s ɔ	s ɔ	s ɔ	s o
454_son	u + d aˀ	a + d u	d a k + d a	a + d u	a + d u	a + d u	d u	a + d u
455_soninlaw	a + tɕʰ y n	a + tɕʰ yː	a + tɕʰ u n	a + tsʰ yː	a + tɕʰ yː	a + tɕʰ yː	a + ʨʰ~tsʰ/ʨʰ yː	a + tɕʰ iː
456_song	l u		l u		h ũ	h ũ	h ũ	h ɔ
457_soupliquidbrothjuice	ɔ + kʰ ɔu		ɔ + kʰ au	d a ŋ + a + kʰ ɔː	a + kʰ oː		a~ɔ/a + kʰ oː	
458_sour	tɕ u m + p a	tɕʰ ɛ̃ĩ + b a	tɕ u m + p a	b a + tɕʰ ɛ̃ː	tɕʰ ĩː + kʰ a n	tɕʰ ĩː + b a	kʰ ɛ̃ː + b aˀ	a + kʰ ɛ̃ː
459_sowbroadcast	pʰ u s		pʰ u s	pʰ i k	pʰ i k	h eˀ	pʰ i k	
45_bindv	d ɔ ŋ		d ɔ ŋ	r u ŋ				
460_soybean	ɕ a + dʑ ɔ k	s y + j u k	ɕ a + dʑ ɔ k	ʂ y + j u k	s + u k	s + u k	s y + j u k	s + u k
461_sparrow	d a k + tɕʰ i + l i ŋ	h u + dʑ i ŋ	d a k + tɕʰ i + l i ŋ		tɕʰ ɔ m + tɕ ə + r ɛː	tɕʰ a m + tɕ ə + r ɛː	b ə + ts ə + l ɔː	tɕ i + p l ɔː
462_speak	h au	g ɐ̃ː		g ɐ̃ː		s + t eː + g ɔ̃ː	s + t eː + g ɔ̃ː	g ɔ̃ː
463_spear	kʰ ɛi + dʑ ɔ ŋ	dʑ ɔ ŋ	t i ŋ + k a ŋ	ʂ ɛ̃ j	dʑ ɔ ŋ	dʑ ɔ ŋ	dʑ ɔ ŋ	dʑ ɔ ŋ
464_spicypungent	j ɛi + b a	h ɐ	j ei + b a	j ɐ + d i	h ɔ	h ɔ + b a		
465_spider	pʰ u + s a ŋ + g o m + b u	n a + t ɹ ø ŋ + z a ŋ	pʰ u + s a ŋ + g ɔ m + p a	g a + p øː	t a n + t ɹ ĩ + s ũ ŋ	n a + t ɹ yː (ŋ)/ŋ + s ɔ ŋ + s ɔ ŋ	p ɹ eː + s u ŋ	t ɹ eː + s u m
466_spiritsoulshadow	u + g u ŋ	a + w u ŋ	ɔ + g u ŋ	a + w u ŋ	a + w u ŋ	u ŋ	u + j u ŋ	u + j u ŋ
467_spit	h i n + t u s + t ɔ s	tɕʰ øˀ	h i n + t u s + t ɔ s	ʈʂʰ øˀ	tɕʰ eˀ	tɕʰ øˀ	kʰ øˀ	kʰ eˀ
468_spittlespit	h i n + t u s	t ɛː	h i n + t u s	t aː	t ɛː	t ɛː	t aː	t aː
469_split	tɕʰ e	tɕ ɛ k	tɕʰ e	j ɔ	j ɔ	tɕʰ eˀ	tɕʰ eˀ~aˀ/eˀ	h o
46_bird	h w a	h uː	h w a	f uː	h uː	h uː	h uː	h uː
470_squirrel	ts ɔː + ts ɔː + g ɹ ɔ ŋ + tʰ a ŋ	tɕ a ŋ + k a		ts a ŋ + kʰ a	tɕ a ŋ + k ɛ		s + t ɔ p + ts~ʨ/ʨ a ŋ + kʰ a	s + t ɔ p + tɕ a ŋ + k a
471_squirrelflying	tɕʰ ɛ ɹ + g ɛ n	tɕʰ y + j ɔ̃ː		tɕʰ y + j ɔ̃ː	tɕʰ y + j ɔ̃ː	tɕʰ ə + tɕʰ ou	kʰ j au	kʰ l ɛː
472_stab	dʑ ɔ k	dʑ u k	dʑ ɔ k	ɖʐ u k			dʑ u k	dʑ u k
473_standup	kʰ i ŋ	tɕʰ ĩː	kʰ i ŋ	ʈʂʰ ĩː	tɕʰ ĩː	tɕʰ ĩː	kʰ ĩː	kʰ ĩː
474_star	k a r + m a	d ə + z y k	k a l + m a	d y + ʐ y k	tɕʰ y ŋ + z y k	tɕʰ y ŋ + z y k	z y k	tɕʰ u ŋ + z u k
475_steal	w u	j ɔː	w u	j ɔː	j ɔː	j oː	j au	j au
476_steam	h~ɬ/h a ŋ + p a			k ɔ + h ɔ̃ː	a + l ũː ŋ	l a ŋ + p oː		
477_stich				ts ɐ k			ts~ʨ/ʨ a k	tɕ a k
478_stick	kʰ ɛi	kʰ ɐ	kʰ ai	kʰ ɐ	kʰ ɔ	kʰ ɔ	kʰ ɔ	
479_stone	l u ŋ	l y ŋ	l u ŋ	l y ŋ	r y ŋ	r y ŋ	l y ŋ	l u ŋ
47_bite	z j ɛ k		z ɛ k		z ɛ k	z ɛ k	z ɛ k	z ɛ k
480_story	t a m		t a m	kʰ a ɹ + t a n	t u ŋ + l u	kʰ a ɹ + t a m		
481_straight	r a ŋ + b u	a + r ɔ̃ː (ŋ)/ŋ	l a ŋ + ɕ u m	a + r ɔ̃ː (ŋ)/ŋ	a + r ũː ŋ	a + r ũː ŋ	a + r ũː	a + r ɔ̃ː
482_stumptree	tʰ u m + b a		d u m + b a			h i ŋ + t r ɔ m	h i ŋ + tʰ r ɔ m	
483_suck	ʑ ɔ p	tɕʰ ɛ ŋ	ʑ ɔ p	ʈʂʰ aj/ai ŋ	z yː	tɕʰ ɛ ŋ	kʰ ɛ ŋ	z iː
484_sugarcane	m ɛi + dʑ u	m ə + tɕʰ iː + s ɔː	m ei + dʑ u	m a + tsʰ iː	m ə + tsʰ~ʨʰ/ʨʰ iː	pʰ + tɕʰ iː	m ə + tsʰ~ʨʰ/ʨʰ yː~iː/iː	m i + tɕʰ iː
485_sunday	n a + m i	n ə + n yː	n a + m i~e/i	n a + n yː	n ə + m yː~iː/yː	n ə + m yː~iː/yː	n ə + n yː	n ə + n iː
486_swallow	dʑ u	g yː	dʑ u	ɖʐ yː	g yː	g yː	g yː	g iː
487_sweet	j ɔ ŋ + j ɔ ŋ		ɔ + b ei + d a	a + ts ĩː	tɕ ĩː	tɕ ĩː	a + ts~ʨ/ʨ ĩː	a + tɕ ĩː
488_swell	p ɕ i ŋ	pʰ i ŋ	p ɕ i ŋ	pʰ i ŋ	pʰ i ŋ	pʰ i ŋ	pʰ i ŋ	pʰ i ŋ
489_tail	ɲ ɔi	a + n ɛːʰ/ɛː	ɲ ui	a + n aː	a + n ɛːʰ/ɛː	a + n ɛːʰ/ɛː	a + ɲ aː	a + ɲ aː
48_bittervi	tɕʰ a k	tɕʰ ɐ k	tɕʰ a k	a + tɕʰ ɐ k	tɕʰ a k	tɕʰ a k	cʰ~ʨʰ/ʨʰ a k	a + tɕʰ a k
490_take	tʰ ɔ n	tʰ øː	tʰ ɔ n	tʰ øː	tʰ ĩː	tʰ ɛ n	tʰ øː	tʰ eː
491_takin	k ɛ m + ɲ a k	s ə + tɕʰ ø n	k ɛ m + ɲ a k			tɕʰ ə + tɕʰ ø m		k ɛ m + ɲ a k
492_taro	tɕʰ a k	tɕʰ ɐ k	tɕʰ a k	tsʰ ɐ k	tɕʰ a k	tɕʰ a k	dʑ uː + ʨʰ~tsʰ/ʨʰ a k	dʑ uː + tɕʰ a k
493_tasty	ɔ + b ɛi	a + b l ɐːʰ/ɐ	ɔ + b ei + d a	a + b l ɐːʰ/ɐ	a + b l ɔːʰ/ɔː + d u	a + b ɹ ɔːʰ/ɔː	a + b l ɔːʰ/ɔː	a + b l ɔː
494_tearvt	ʑ ɛ t		ʑ ɛ t	z ɛˀ	z eˀ	z eˀ	z eˀ	
495_tell			ɕ a t	ʂ ɐˀ	s ɔˀ	s ɔˀ	s ɔˀ	s ɔ
496_ten	s a n	s ɐ̃ː	s a n	s ɐ̃ː	s ɔ̃ː	s ɔ̃ː	s ɔ̃ː	s ɔ̃ː
497_that	ɔ + g i	tʰ iː	ɔ + g i	tʰ iː	tʰ yː	s + tʰ yː	tʰ yː	tʰ uː
498_thatside	tʰ e	tʰ iː + tʰ ɛː + l ɔ	ɔ + tʰ j a	kʰ aː	ɔ + tʰ ɛː + l ɔ	tʰ ɛː	kʰ l aː	kʰ aː
499_thembangpeople	tʰ ɛ m + b a ŋ + p a	tʰ ə + b a ŋ + dʑ i	tʰ j e + m a ŋ + b i	tʰ ɛ m + b a ŋ + dʑ i		tʰ a m + b a ŋ + dʑ i		
49_black	u + tɕʰ a m	a + tɕʰ ɔ̃ː	u + tɕʰ a m	a + ʈʂʰ ũː	a + tɕʰ ũː	a + tɕʰ ũː	a + tɕʰ ũː	a + tɕʰ ɔ̃ː
4_2sg	n a ŋ	n a ŋ	n a ŋ	n a ŋ	n a ŋ	n a ŋ	n a ŋ	n a ŋ
500_thick	ɔ + tʰ ɛ s	a + tʰ ɛ ʔ		a + tʰ ɛ ʔ	a + tʰ ɛ ʔ	a + tʰ ɛ ʔ	a + tʰ a t	a + tʰ ɛ t
501_thief	b i + j u		b u + j u	dʑ y + j ɔː	dʑ y + w + j ɔː		dʑ i + j au	
502_thigh	l e + pʰ a	l a + pʰ l uː	l e + pʰ a		l a + pʰ l uː	l a + pʰ uː	l ə + pʰ uː	l ə + pʰ uː
503_thin	tɕʰ a p + b u	a + tɕʰ ɛˀ + d u		a + tɕʰ a + d u	a + tɕʰ a p + d u	a + tɕʰ a p + d u	a + tsʰ~ʨʰ/ʨʰ a p + d u	a + tɕʰ a p + d u
504_thing	m a		m a	a + n ø	m ə + tɕʰ i ŋ	pʰ + tɕʰ i ŋ	m~pʰ/m ə + tɕʰ i ŋ	
505_think	s a m	tʰ i ŋ	s a m	tʰ i ŋ	tʰ i ŋ	tʰ i ŋ	tʰ i n	tʰ i n
506_thirstyvi	kʰ ou + j a ŋ	kʰ ɔː + kʰ + j ɔ̃ː	kʰ au + j a ŋ	kʰ ɔː + j ɔ̃ː	kʰ ɔː + j ũ ŋ	kʰ oː + j ũ ŋ	kʰ oː + j ũ ŋ	kʰ oː + j ɔ̃ː
507_this	ɔ + ʨʰ i	tʰ aː + dʑ i	u + ʨʰ i	tʰ aː + dʑ i	ɔ + tʰ ɛː	tʰ ə + ɛː	tʰ w aː	tʰ aː + j i
508_thorn	pʰ i + dʑ ɔˀ	b ə + z ɔ	pʰ e + z~ʥ/z ɔ	b a + z ɔ	b ə + z ɔː	b ə + z oː	b ə + z au	b ə + z au
509_thousand	t ɔ ŋ + t~ʈ/t a	t ɔ ŋ + t a	t ɔ ŋ + t a	t ɔ ŋ + ʈʂʰ aː	t ɔ ŋ + tʰ ɔ	t ɔ ŋ + tʰ ɔ		
50_blood	h ɔi	h ɛːʰ/ɛː	h ui	x aː	h ɛːʰ/ɛː	h ɛːʰ/ɛː	h aːʰ/aː	h aː
510_thread	h w a ŋ	h a ŋ	h w a ŋ	x a ŋ	h a ŋ	h a ŋ	h a ŋ	h a ŋ
511_three	ɔ m	u ŋ	ɔ m	ũː (ŋ)/ŋ	u ŋ	u ŋ	u ŋ	u ŋ
512_throw	t ɔ s	tʰ øˀ	t ɔ s	tʰ øˀ	tʰ eˀ	m ɔ	tʰ øˀ	t ɛ r
513_thundervi					n ə + m yː + h y k		n ə + m yː + h y k~p/k	n i + m iː + h u k
514_tievt	kʰ a k	h ɐ k	kʰ a k	x ɐ k	h a k	kʰ a k	h a k	h a k
515_tiger	pʰ u + ɲ a m	pʰ ɔ̃ː	pʰ u + ɲ a m	pʰ ũː	pʰ ũː	pʰ ũː	pʰ ũː	pʰ ɔ̃ː
516_tillhoe		tɕʰ ɔ k		tɕʰ ɔ k	tɕʰ ɔ k	tɕʰ ɔ k	tɕʰ ɔ k	tɕʰ ɔ k
517_tiredvi	dʑ ɛi	dʑ eː	ɲ a s + a t	dz eː~ɛː/eː	dʑ eː	n a k	dz eː	
518_today	tʰ a + l a	tʰ + l uː	tʰ a + l a	tʰ a + l uː	tʰ + r uː	tʰ + r uː	tʰ ə + l uː	tʰ ə + l uː
519_togetherwith	d ɛ p + kʰ ɔ	d ɛː + g u	d e + kʰ ɔ		d ɛ p + g yː	d ɛ p~ˀ/p + kʰ ɔ	d ɛ p~k/p + g ɔ	d ɛ p + kʰ ɔ
51_blow	h u t	w i k	h u t	w i k	m i k	m i k	m i k	m i t
520_tomorrow	n a m + s a ŋ	m ə + s a ŋ	n a m + s a ŋ	b ə + s a ŋ	m y + s a ŋ	p + s a ŋ	m ə + s a ŋ	m ə + s a ŋ
521_tongue	l ɔi	l ɛː	l ui	l aː	l ɛː	l ɛː	l aː + pʰ~f/pʰ ɔ̃	l aː
522_tooth	h i n + t u ŋ	n ə + tʰ y ŋ	ɕ i n + t u ŋ	n y + tʰ y ŋ	n ə + tʰ y ŋ	pʰ + tʰ y ŋ	t ɔ k + tsʰ eː	n ə + tʰ u ŋ
523_trivet	p ɛ ɹ + ʑ a m + ɕ u p	d ə + z yː	p ɛ ɹ + tɕʰ u + d u	d y + ʐ yː	tɕ ĩ (ŋ)/ŋ + z yː	tɕ ĩ (ŋ)/ŋ + z yː	z ə + z yː	tɕ i + z i
524_trunktree		h i ŋ + l ə + tʰ y ŋ		h i ŋ + l a + tʰ y ŋ	h i ŋ + l ə + tʰ y ŋ	h i ŋ + l a + tʰ y ŋ	h i ŋ + tʰ y ŋ	
525_tuber	dʑ a	dʑ uː	dʑ a	dʑ uː	dʑ uː	dʑ uː	dʑ~ɟ/dʑ uː	dʑ uː
526_tusk	k ɛ s		k ɛ s	n eˀ	n iˀ	n iˀ	ɲ eˀ	
527_twenty	kʰ ɛi	kʰ ɐ̃ː	kʰ e~a/ei	kʰ ɐ̃ː	kʰ aː	kʰ ɔ̃ː	kʰ ai	kʰ aː
528_twist	kʰ i k			ʈʂʰ iˀ	tɕʰ iˀ	tɕʰ eˀ	kʰ eˀ	
529_two	ɲ i s	n i k	ɲ i s	n i k	n i k	n i k	ɲ i k	ɲ i t
52_blowwind	n a m + s u ŋ + l ɔ n		n a m + s u ŋ + u n	f ɔː	f yː	h yː		
530_underbelow	kʰ a	kʰ uː	kʰ a	kʰ uː	kʰ uː	kʰ uː	kʰ uː	kʰ uː
531_upthere	l j a~e~ɛ/a	l a ŋ	l j a~ɛ/a	l a ŋ	l a ŋ	tʰ a ŋ	l a ŋ	l a ŋ
532_upascend	kʰ u ŋ	kʰ y ŋ	kʰ u ŋ	kʰ y ŋ	kʰ y ŋ	kʰ y ŋ	kʰ y ŋ	kʰ u ŋ
533_uproot	pʰ ɔ k		pʰ ɔ k		pʰ i ŋ		pʰ i~y/i ŋ	
534_urine	ʑ i	z iː	ʑ i	z iː	z iː	z iː	z iː	z iː
535_vagina	tʰ u	j ɔː	tʰ u	d a + p ɛ	p eː	p eː	tʰ au	tʰ au
536_vegetableleafy	d a ŋ	d a ŋ	d a ŋ	d a ŋ	d a ŋ	d ə + h ɔ̃	d ə + h ɔ̃	d a + h ɔ̃
537_veranda	j a ŋ + tɕʰ ɔ ŋ	d a + dʑ ɔ̃ː ŋ	j a ŋ + tɕʰ ɔ ŋ	d a + dz ɔ̃ː	dʑ ũː ŋ	l a + pʰ ɔ ŋ	dʑ ũː (ŋ)/ŋ + b au	dʑ ɔ̃ː + kʰ i ŋ
538_village	tʰ u p~k/p	tʰ y k	tʰ u p	tʰ y k	tʰ y k	tʰ y k	tʰ y k	tʰ u k
539_vomit	m a s	j ɔ k	m a s	j ɔ k	j ɔ k	j ɔ k	j ɔ k	j ɔ k
53_boarwild	ɕ a + kʰ ɛ n	s + ɛ n	ɕ a + kʰ ɛ n	ʂ + ʈʂʰ ɛ n	s + k~kʰ/kʰ a n	s + k~kʰ/kʰ a~ɛ/a n	s + k a n	s + k a n
540_waist	b u k + t u ŋ	m ə + kʰ ɐ k + t y ŋ	b u k + tʰ u ŋ	b ə + kʰ ɐ k + tʰ y n			m ə + kʰ a k + t y ŋ	m ə + kʰ a k + t u ŋ
541_wait	dʑ a k~p/k	dʑ ɐ k	l a ŋ	l a ŋ	dʑ a k	dʑ a k	dʑ a k	dʑ a k
542_wakeup	j ɔu	j ɔ	j ɔu	j ɔ	j ɔ	j o	j au	j au
543_walkmovego	w a	r ɐˀ	w a	r ɐˀ	r ɔˀ	r ɔˀ	r ɔˀ	r ɔ
544_walkingstick	kʰ ɛi + d u ŋ				g ə + dʑ y ŋ	g ə + dʑ y ŋ	g ə + dʑ y ŋ	g ə + dʑ u ŋ
545_walnut	m a ŋ + kʰ a	m ə + kʰ uː	m a ŋ + kʰ a	m a + kʰ uː	m ə + kʰ uː	m ə + kʰ uː	m ə + kʰ uː	m ə + kʰ uː
546_warmhotadj	u + tɕʰ i k	a + tɕʰ i k	u + tɕʰ i k	tsʰ i k + d y	a + tɕʰ i k	a + tɕʰ i k	a + tɕʰ i k	a + tɕʰ i k
547_warmhotvi	tɕʰ i k		tɕʰ i k		tɕʰ i k	tɕʰ i k	ʦʰ~tɕʰ/tɕʰ i k	
548_wash	tɕʰ ɔ ɹ	tɕʰ øː (n)/n	tɕʰ ɔ l	tsʰ øː	tɕʰ ĩː (ŋ)/ŋ	tɕʰ yː	tɕʰ eː	tɕʰ eː
549_water	kʰ ɔu	kʰ ɔː	kʰ au	kʰ ɔː	kʰ oː	kʰ oː	kʰ oː	kʰ oː
54_boilwater	tɕʰ ɔu	tɕʰ ɔ	tɕʰ ɔu		tɕʰ ɔ	tɕʰ o	ʦʰ~ʨʰ/ʨʰ au	tɕʰ au
550_wealthy	ɕ i k + p u		tɕʰ u k + p u	d ə + ʂ ɔ̃ː	tɕʰ y k + p u	tɕʰ y k + p u	tɕʰ i k + p u	
551_wear	w a s	j ɐ̃	w a s	j ɐ̃			j ɔ̃	
552_weave		r ɐ k	d a k	r ɐ k	r a k	r a k	r a k	r a k
553_weedgrass	dʑ a m	dʑ ɐ ŋ	dʑ a m	dʑ ɐ ŋ	dʑ ũ ŋ	dʑ ũ ŋ	dʑ~ɟ/dʑ a ŋ	dʑ a ŋ
554_wet	u + ɕ i ŋ	kʰ l eˀ	u + ɕ i ŋ	kʰ l ɛˀ	a + s i ŋ	a + s i ŋ		a + s i ŋ
555_wheat	pʰ ɛ s + k a r	r ɛ m + b ɔ ŋ	pʰ ɔ s + k a r	pʰ u k + ʂ ə + r ɛ	m u + k uː	m ə + k uː	b ə + k uː	b ə + k uː
556_when	a + d a ŋ	a + d ɔ̃ː (ŋ)/ŋ	a + d a ŋ	a + d ɔ̃ː (ŋ)/ŋ	a + d ũː (ŋ)/ŋ	a + d ũː (ŋ)/ŋ	a + d ũː (ŋ)/ŋ	a + d ɔ̃ː ŋ
557_where	h a		a	a + l ɔː	tʰ a + a + l ɔː			
558_white	j a ŋ + k a ɹ	a + z ɐ̃ː	j a ŋ + k a l	a + z ɐ̃ː	a + z ɔ̃ː	a + z ɔ̃ː	a + z ɔ̃ː	a + z ɔ̃ː
559_who	m i	n iː	m i	n iː	m iː	m iː	ɲ iː	ɲ iː
55_boiln	kʰ ɹ a ŋ + p a		kʰ~kʰl/kʰ a ŋ + p a	g ə + kʰ a ŋ	kʰ a + kʰ a ŋ	kʰ a ŋ + kʰ a ŋ	kʰ a ŋ + kʰ a ŋ	
560_wife	u + j a	a + j uː	u + j a	a + j uː	a + j uː	a + j~r/j uː	a + j uː	a + j uː
561_wind	n a m + s u ŋ~m/ŋ	n ə~y/ə + s ø n	n a m + s u ŋ~m/ŋ	n a + s ø n	n y~ə/ə + s ɔ m	p + s ø m	n ə + s ɔ m	n ə + s ɔ m
562_window	k ɔː~u/ɔː + tɕ u ŋ	k ɔː + tɕ y ŋ	k a l + tɕ u ŋ	k ɔː + tɕ y ŋ	k ɔː + tɕ y ŋ	k oː + tɕ y ŋ	k au + d u	k oː + tɕ u ŋ
563_wing	p ɛ m + p u	n y + pʰ a ŋ	ɲ ui + pʰ a	n y + pʰ a ŋ	n ə + pʰ a ŋ	m ə + pʰ a ŋ	n~d/n ə + pʰ~f/pʰ a ŋ	l ə + pʰ a ŋ
564_wipe	b i k		b i k	ʂ ɛ	yː	yː	yː	iː
565_woman	dʑ u + m u	dʑ ə + m yː	dʑ ə~u/u + m u	dʑ ə + m yː	dʑ ə + m yː	dʑ ə + m yː	dʑ ə + m yː	dʑ ə + m iː
566_wood	ɕ i ŋ	h i ŋ	h i ŋ	h i ŋ	h i ŋ	h i ŋ	h i ŋ	h i ŋ
567_wool	dʑ a k	dʑ ɐ k	dʑ a k	dʑ ɐ k	dʑ a k	dʑ a k	ɟ~ʥ/ʥ a k	dʑ a k
568_word	tsʰ i k		ŋ a k + tsʰ i k	n ɔ + tsʰ i k	n ɔ + tɕʰ i k	n u k + tɕʰ i k	ɲ u k + tsʰ i k	
569_work	p a t	l e + k aː	l e + k a	b l ɛ t	l e + k ɔː	l e + k ɔː	b l a t	b l a t
56_bone	ɕ a + kʰ u s	i + h i k	ɕ a + kʰ u s	a + x y k	s (ə)/ə + k i k	s + k i k	s + k i k	s + k i t
570_wringsqueeze	tɕ i ɹ	tɕ ĩˀ	tɕ i l		tɕ ĩˀ	tɕ ĩˀ		
571_year	t ɔ m	t u ŋ	t ɔ m	t u ŋ	t u ŋ	t u ŋ	t u ŋ	t u ŋ
572_yearnext	n a m + s a ŋ + p a		n a m + s a ŋ + b a		m ə + s a ŋ + b u	p + s a ŋ + b u		
573_yearthis	tʰ a ɹ + p u		tʰ a l + p u	tʰ a m + b u + t u ŋ	tʰ a m + b u + t u ŋ	tʰ a m + b u + t u ŋ	tʰ a m + b u + t u ŋ	
574_yellow	s ɛ r + b u	ɛ + h ɛːʰ/ɛː	ʥ u ŋ	a + x aː	ɛ + h ɛːʰ/ɛː	ɛ + h ɛːʰ/ɛː	a + h aːʰ/aː	a + h aː
575_yesterday	d ɛi + j u	d y + j ɔː	d i + j u	d y + j ɔː	dʑ y + j ɔː	dʑ oː + h ɔː	d y + j au	
576_arrive	pʰ ɛ t	pʰ ɛ ʔ	pʰ ɛ t	pʰ ɛ t	pʰ ɛ t	pʰ ɛ t		
577_dragon	b r u k		b u k	n ə + tsʰ aː		n a m + tɕʰ ə + r ɛː		
57_borrow	l ɔi	tɕʰ iː	l ui	tɕʰ iː	l ɛːʰ/ɛː		l aː	kʰ iː
588_boil	ʨʰ ɔu		ʨʰ au					
58_bow	l i	l i	l i	l i	r i	r i	l i	l i
592_cloud	m u k + p a							
596_deer	ɕ a + w a							
599_fear	t a k		t a k					
59_brain	ɕ a + ɲ u	kʰ + r u k + a + n yː	ɕ a + ɲ u	m ə + tʰ ɛ̃ n + s ə + n yː	kʰ + r u k + a + n yː	kʰ + r u k + a + n yː	a + ɲ yː	a + ɲ iː
5_3sg	w ɔi	w aː	w ui	l a ŋ + w aː	w aː + dʑ i	(h)/h ɛˀ	w aː	w aː
604_flattendough	b i r		b i l					
606_ford	t ɔ ŋ + z u m							
60_branch	a + l a k	a + pʰ a ŋ	a + l a k	a + pʰ a ŋ	a + pʰ a ŋ	a + pʰ a ŋ	a + pʰ a ŋ	a + pʰ a ŋ
610_grindgrindingstone	ɕ ɔ r		ɕ ɔ l					
611_hairfeather	p u							m i n + d u
613_hate		a + n uː + tʰ i ŋ		l y ŋ + n u	d ɔ k	b l ɛ + n ə + j u ŋ	b l ɛ + n u ŋ	
615_huskschaff	h ɔ p		s ɔ p					
61_break	g ɛ t	tɕʰ ɛ ʔ	g ɛ t	dʑ ɛ ʔ	ʥ~ʨʰ/ʥ ɛ ʔ	dʑ ɛ ʔ	g a t	
623_now	h ɔˀ + k ɔ		s ɔ + k ɔ					
624_otheradj	b a ŋ + t a ŋ	a + g a	b a ŋ + t a ŋ					
62_breastmilk	ɲ i~u/u ŋ	n y ŋ	ɲ i~u/u ŋ	n y ŋ	n y ŋ	n y ŋ	ɲ y ŋ	ɲ u ŋ
634_pubichair	m u r		m u l					
637_quarrel		aˀ + iː						
63_breath	b u k	b y k	b u k	b y k	b y k	b y k	b y k	b u k
64_bridge	tʰ ɔ n	tʰ øː	tʰ ɔ n	tʰ øː	tʰ ĩː	tʰ yː	tʰ øː	t oː + z a m
655_tearsnap	ʑ ɛ t		z i t					
657_thunder	b r u k	n ə + m y + t r ɔ ŋ	n a m + tʰ u ŋ + l i m			n ə + m yː + d ɾ a ŋ + d ɾ y ŋ		
65_bridgehanging	ɕ a m			s ɔ̃ː	s ũː (ŋ)/ŋ		s ũː	
662_warhotadj				a + tsʰ i k				
664_wearonhead	tʰ ɔ ŋ							
66_bring	h a n	tɕʰ uː	tʰ u n	tɕʰ uː	tɕʰ uː	tɕʰ uː	tɕʰ u	n aː
