Cognate_ID	Kagazli1	Kagazli2	Kagazli3	Kagazli4	Kagazli5	Kagazli6	Kagazli7	Karaushan1	Karaushan2	Karaushan3	Karaushan4	Kiakmuz1	Kiakmuz2	Kiakmuz3	Kibarskoon	Kikulanak1	Kikulanak2	Kikulanak3	Kikulanak4	Kikulanak5	Kiorday1	Kiorday2	Kiorday3	Kiorday4	Kitamga	Kkhalqabad1	Kkhalqabad2	Kkhalqabad3	Kkkokdarya1	Kkkokdarya2	Kkkokdarya3	Kkkokdarya4	Kkshege1	Kkshege2	Kkshege3	Kkshege4	Tagalyk	Tkamangaron1	Tkamangaron2	Tkamangaron3	Tkamangaron4	Tkaptarhona1	Tkaptarhona2	Tkaptarhona3	Tkaptarhona4	Tkaptarhona5	Tnavdi1	Tnavdi2	Tnavdi3	Tnimich1	Tnimich2	Tnimich3	Tnimich4	Tnovmetan1	Tnovmetan2	Tnushor1	Tnushor2	Tnushor3	Trishtan1	Trishtan2	Trishtan3	Tshink1	Tshink2	Tshink3	Turmetan1	Turmetan2	Turmetan3	Turmetan4	Tzarmanak1	Tzarmanak2	Uhitoy1	Uhitoy2	Uhitoy3	Unovmetan3	Usoymahalla1	Usoymahalla2	Usoymahalla3	Uurtoqqishloq1	Uurtoqqishloq2	Uurtoqqishloq3	Uurtoqqishloq4	Uzarmanak3	Uzarmanak4	Ydugova1	Ydugova2	Ysafedorak1	Ysafedorak2	Ysafedorak3
heart	ʒ ʉ r ɪ k	ʒʲ ʉ r ø k	ʒʲ ʉ r ø k	ʒ ʉ r ɪ k	ʒ y r e k	ʒ ʉ r e k	ʒ ʉ r e k	ʒ ʉ r ø k	ʒ y r ø k	ʒ ʉ rʲ e k	ʒ y rʲ ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	ʒ y r ø k	ʒ y r ø k	ʒ y r ø k	ʒ y r ø k	dʒ y r ø k	ʒ y r ø k	ʒ y r ø k	ʒ y r ø k	dʒ y r ø k	ʒ ʉ r e k	ʒ ʉ r ø k	ʒ y r ø k	ʒ y r ø k	ʒ y r ø k	ʒ y r ø k	ʒ ʉ r ø k	d i l	d i l	d i l	d i l	d i l	d i l	q a l	d i l	d̥ i l	d i l	d i l	d i l	d i l	d i l	d i l	d l̩	d l̩	d i l	d i l	d i l	d i l	d l̩	d i l	d ɪ l	d ɪ l	d i l	d i l	d i l	d i l	d i l	d i l	d i l	d i l	d i l	dʒ y r ø k	dʒ y r ø k	dʒ y r ø k	j ʊ r a k	j y r a k	j y r æ k	j y r a k	j ʉ r a k	j y r a k	j ʉ r a k	j ʉ r a k	j u r a k	j ʊ r a k	d ɪ l	d ɪ l	d i l	d ɪ l	d ɪ l
heavy	a w ə r	a w ə r	a w ɜ r	a w ɜ r	a w ɜ r	a w ɜ r	a w ɜ r	a w ə r	a w ɨ r	a w ɨ r	a w ɨ r	ɔː r	ɔː r	s a l m a q t ɨ	ɔː r	ɔː r	ɔː r	ɔː r	ɔː r	ɔː r	s a l m a q t ʊ	ɔː r	ɔː r	ɔː r	ɔː r	a w ə r	a w ə r	a w ʊ r	a w ɜ r	a w ɜ r	a w ə r	a w ə r	a w ɜ r	a w ɨ r	a w ɨ r	a w ɨ r	v a z m i n	v a z m i n	v a z b i n	v a z b i n	v a z b i n	v a z m i n	v a z m i n	v a z m i n	v a z b i n	v a z m i n	v a z m i n	v a z m i n	v a z m i n	v a z m i n	v a z m i n	v a z m ɪ n	v a z m i n	v a z b i n	v a z b i n	v a z m ɪ n	v a z m i n	v a z m i n	v a z m ɪ n	v a z m i n	v a z m ɪ n	v a z m i n	v a z m i n	v a z m i n	v a z b i n	v a z m i n	v a z m i n	v a z m i n	v a z b i n	v a z b i n	a w ɨ r	a w r ʊ	a w ə r	ɔ ɣ ə r	ɔ ɣ ə r	ɔ ɣ ə r	ɔ ɣ ə r	w ɔ ɣ ə r	ɔ ɣ ə r	ɔ ɣ ə r	ɔ ɣ ə r	ɔ ɣ ə r	ɔ ɣ ə r	v a z m i n	v a z m i n	v a z m i n	v a z m i n	v a z m i n
horn	m ʉ j ə z̥	m y j ɪ z̥	m y ɪ z	m y j y z̥	m y j ɨ z̥	m y j ɨ z̥	m y j ɨ z̥	m y j i z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	m y j y z̥	ʃ ɔ q	m y j y z̥	m y j y z̥	m y j y z	ʃ a q	ʃ a q	ʃ a q	ʃ a q	ʃ a q	ʃ a q	ʃ a q	ʃ a x	ʃ a q	ʃ a q	m y j ɪ z̥	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x		ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ a x	ʃ a x	ʃ a x	ʃ ɔ x	ʃ ɔ q	s ɔ x	ʃ ɒ q	ʃ ɔ x	ʃ ɒ x	ʃ ɔ x	ʃ ɒ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x	ʃ ɔ x
how	q ɒ l a j	q a n d a j	q a l a j	q a l a j	q a ɬ a j	q a n d a j	q a l a j	q a l a j	q a l a j	q a l a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a l a j	q a l a j	q a l a j	q a n d a j	q a l a j	q a n d a j	q a l a j	q a l a j	q a l a j	q a l a j	q a l a j	tʃ i t a β r	tʃ x e l	tʃ x e l	tʃ t u	tʃ x e l	tʃ iː	i s t a r ɔ n	i s t ɔ r ɔ	i s r ɔ	i s t r u k i	tʃ i g ʊ n a	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ i n a w	tʃ t ʉ	tʃ x e l		tʃ x ɪ l	tʃʲ i tʲ i n	tʃ x ɛ l	tʃ t i n	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ x e l	tʃ t ə	tʃ t ə	q a n d a j	q a n d a j	q a l a j		q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	q a n d a j	tʃ i x e l	tʃ ʉ tː i	tʃ u t i	tʃ u t i	tʃ u tː i
husband	k y j ə w	j ɪ r k e k	b a j ɪ m	k ʉ j e w	k ʉ j e w	k ʉ j w ə	k ɨ j ə w	j ɪ r k ɛ k	k ʉ j ə w ɪ	j e r	j e r	k y j œː	g y j øː	ɛ r	k y j œː	k y j øː	g y j øː	g y j øː	g y j øː	g y j øː	e r	e r	ɪ r k ɛ k	e ʃ	k y j øː	j e r	j e r	j e r	k ʉ j ʊ w	k ʉ j ə w ɨ	j ɛ r	j ɛ r	k ɪ j ʊ	j e r	k ɪ j ʊ	k ɪ j ʊ v ɐ	ʃ uː	ʃ a w h a r	ʃ øː	m a r d	m a r d	ʃ uː	ʃ ʊ w	ʃ uː	ʃ ʊː	ʃ uː	m a r d̥	ʃ a w h a r	m a r d	ʃ uː	m a r d i n a	ʃ a w h a r	m a r d	ʃ ʉ j	m a r d	m a r d a k	ʃ a w h a r	ʃ ʊː	ʃ uː	ʃ uː	ʃ uː	m a r d	m a r d	ʃ ʊ j	m a r d a k	m a r d a k	m a r d a k	m a r d a k	ʃ ʉ j	ʃ ʉ j	j e r	k ɪ j ʊ	k ɪ j ʊ	e r	ɛ rː ɛ	e r	e r	j e r	j e r	j e r	j e r	e r	e r	v i r	v i r	v i r	v i r	v i r
i	mʲ e n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ e n	mʲ ɪ n	mʲ e n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ ɛ n	mʲ ɛ n	mʲ ɛ n	mʲ ɛ n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ e n	mʲ e n	mʲ e n	mʲ e n	mʲ e n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m ɛ n	m a n	m n̩	m a n	m a n	m a n	m a n	m n̩	mʲ ɛ n	m a n	m a n	m a n	m ə n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	m a n	mʲ e n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ ɛ n	mʲ e n	mʲ e n	mʲ e n	mʲ e n	mʲ ɛ n	m a n	m a n	m a n	m a n	m a n
ice	m ʉ z	m ʊ z̥	m ʊ z	m ʊ z	m ʉ z̥	m ʊ z̥	m ʉ z̥	m ʉ z̥	m ʉ z̥	m ʉ z̥	m ʊ z̥	m u z̥	m u s	m u z̥	m ʊ z̥	m u z̥	m u z̥	m u s	m u z̥	m u z̥	m u z̥	m u z̥	m u z̥	m u z	m u z̥	m ʊ z̥	m ʊ z̥	m ʉ z̥	m ʉ z̥	m ʉ z̥	m ʉ z̥	m ʊ z	m ʊ z̥	m ʊ z̥	m ʊ z̥	m ʊ z̥	j a x	j a x	j a x	j a x	j a x	j a x	j a x		j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x		j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	j a x	m ʊ z̥	m ʊ z̥	m ʊ z̥	j a x	m u z̥	m u z̥	m u z̥	m u z̥	m u z̥	m u s	m u z	m u z	m u z̥	e x	ɪ x	e x	e x	
knee	t i zʲ e	t i zʲ e	d zʲ e	d zʲ e	d zʲ e	t ɪ z e	d zʲ e	t i zʲ e	d zʲ e	t ɨ zʲ e	t ɨ zʲ e	t i z ɛ	t i zʲ ɛ	t i z ɛ	t i zʲ ɛ	t i z ɛ	t i zʲ ɛ	t i z ɛ	t i z ɛ	t i z ɛ	t i z ɛ	t i z ɛ	t i z ɛ	t i z ɛ	t i z ɛ	d zʲ e	d zʲ e	d zʲ e	t i zʲ e	t i zʲ e	t i zʲ e	d i zʲ e	d ɪ zʲ e	d ɪ zʲ e	d ɪ zʲ e	d ɪ zʲ e	z ɔ n u	t i zː a	z ɔ n ʊ	t i zː a	z ɔ n a	z ɔ n i	z ɔ n i	z o n i	z o n i	z o n i	z ɔ n u	z ɔ n u	z ɔ n u	z ɔ n ʊ	z ɔ n ʊ	z ɔ n ʊ	z ɔ n ɪ	b u dʒ u l a k	z ɔ n ʊ	z ɔ ʔ n ʊ	z ɔˑ n ʊ	z ɔ n u	z ɔ n ʊ	z ɔ n ʊ	z ɔ n ə	z ɔː n ə	z ɔ n ɪ	z ɔː n ə	z ɔː n ə	k a l e n o	z ɔ n y	z ʊ n a	z ɔ n ʊ	b u dʒ u l a k	t ɨ zʲ e	d zʲ e	t ɨ zʲ e	b u dʒ i l a k	t ɪ zː a	t i zː a	t ɨ zː ɐ	t ɨ zː ɐ	t i sː a k	t i zː ɐ	t i zː a		t ɪ zː a	z u n k	z u n k	z u n k	z u n k	z u n k
lake	tʲ e ŋ ɨ z̥	k w ø l	k w ø l	k w ø ɬ	k w ʊ ɬ	k w ø ɬ		k w ø l	k w ø l	k w ø l	k w ø l	k ø l	g ø l	g ø l	k ø l	k ø l	g ø l	g ø l	k ø l	g ø l	kʲ ø l	k ø l	h a w z	d a r ɨ j a	k ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k w ø l	k u l	k ø l	k ø l	k ø l		k ʊ l	k u l	k u l	k u l	k u l	k u l	k u l	h a v z	h a v z	h a w z	kʰ u l	k u l	h a w z̥	h a w z	h a w z	kʰ u l	h a w z	k u l	k u l	k u l	k ʊ l	k u l	k u l	k u l	k u l	k u l	k u l	k ʉ l	k ʉ l	k w ø l	k w ø l	k w ø l		k ʉ l	k ø l	k ø l	k w ʉ ɬ	k w ø ɬ	k w ʉ ɬ	k w ʉ ɬ	k ʉ l	k ʉ l	o z e r o	h a v z	h a w z	h a w z	
leaf	ʒ a p r a q	p a r a k	ʒ a p r a x	ʒ a p r a q	ʒ a p r a q	ʒ a p r a q	ʒ a p r a q	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	dʒ a l b ɨ r a k	dʒ a l b ɨ r a k	dʒ a l b ɨ r a q	dʒ a l b ɨ r a q	dʒ a l b ɨ r a q	dʒ a l b ɨ r a k	dʒ a l b ɨ r a k	dʒ a l b ɨ r a q	dʒ a l b ɨ r a k	ʒ a p ɨ r a k	b a r g̊	dʒ a p r a k	b a r a k	dʒ a l b ɨ r a k	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	dʒ a p r a k	ʒ a p ə r a k	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	ʒ a p r a k	b a r g	b a r g̊	b a r g̊	b a r g̊	b̥ a r g̊	b a r k	b a r k	b a r g	b a r k	b a r k	b a r g̊	b a r g̊	b a r g̊	b a r g	b a r g	b a r g		b a r g̊	b a r g	b a r g	b a r g		b a r g̊	b a r g	b a r g̊	b a r g̊	b a r g̊	b a r g̊	b a r g̊		b a r g̊		b a r ɣ	b a r g̊	dʒ a p r a k	dʒ a p a r a k	dʒ a p r a k	b a r g̊	b a r g̊	b a r k	b a k	b a r g	b a r g	b a r g̊	b a r g̊	b a r g	b a r g	b a r g	b a r g	b a r g	b a r g	b a r g
left	s ɔ ɬ	s ɔ ɬ	s ɔ l	s ʊ ɬ	s ɔ ɬ	s ɔ ɬ	s ɔ ɬ	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	s ɔ l	tʃ a p	tʃ a p	s ɔ l	s ɔ l	ʃ ɪ p	ʃ ɪ p	ʃ ɪ p	s ɔ l	ʃ ɪ p	ʃ ɪ p	s ɔ l	ʃ ɪ p	ʃ ɪ p	ʃ ɪ p	s ɔ l	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a b̥	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	s ɔ l	s ɔ l	tʃ ɪ p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a p	tʃ a pː a	tʃ a pː a	tʃ aˑ p a	tʃ a pː a	
leg	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	b u t	b u t	b u t	b u t	b ʊ t	b u t	b u t	b u t	b u t	p ʊ t	p ʊ t	p ʊ t	b u t	b u t	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	a j a q	p ɔ j	p ɔ tʃ a	p ɔ j	p ɔ	p ɔ	p o tʃ i k	p ɔ tʃ u k	p ɔ tʃ i k	p ɔ tʃ i k	p ɔ tʃ k̩	p o	p ɔ j	p ɔ	p ɔ	p ɔ j	p ɔ	p ɔ	p ɔ j	p ɔ j	p ɔ j	p ɔ j	p ɔ	p ɔ tʃ i k	p ɔ tʃ i k	p ɔ tʃ i k	p ɔ j	p ɔ j	p ɔ j	p ɔ j	p ɔ j	p ɔ	p ɔ	p ɔ j	p ɔ j	a j a q	a j a q	a j a q	a j ɔ q	a j ɒ q	a j a q	a j a q	ɔ j ɒ q	ɔ j a q	ɔ j a q	ɒ j a q	ɔ j ɔ q	ɔ j ɔ q	p ɔ d a	p ɔ d a	p o d a	p o d a	p ɔ d a
liver	b ɒ w ə r	b a w r	b a w r	b a w r	b a w ə r	b a w ə r	b a w ə r	b a w ɨ r	b a w ɨ r	b a w ɨ r	b a w ʊ r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ɔː r	b ø j r ɛ	dʒ i g a r	b ɔː r	b ɔː r	b a w ʊ r	b a w ʊ r	b a w ʊ r	b a w ə r	b a w ə r	dʒ i g a r	b a w ɨ r	b a w ɜ r	b a w r	b a w ɜ r	b a w ʊ r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒʲ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r		dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	b a w ʊ r	b a w r	b a w ɨ r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r	dʒ i g a r
long	ɔ z a q	ʉ z a q	k w ø w a x ə	ʉ z a q	ɔ z a q	ɔ z a q	k ø b r i k	u z a q	u z a q	a l ɨ s	u z a q	u z ɒ q	u z ɒ q	k ø p k ø	u z ɒ q	u z ɒ q	u z ɒ q	u z ɒ χ	u z ɒ q	u z ɔ ʁ	u z ɒ q	u z ɒ q	a l ɨ s	a l ɨ s	u z ɒ q		u z a q	u z a q	u z a q	ʊ z a q	u z a q	u z a q	u z a q	u z a q	u z a q	ʊ z a q	m u d a t	d u r	d u r	d u r	d a r ɔ x t	d ə r ɔ z	d u r	d u r	d u r	d u r	d a r ɔ z	b i s j ɔ r	d a r ɔ z	b i s j ɔ r	b i s j ɔ r	d a r ɔ z̥	d a r ɔ z̥	m ʉ l	m ʉ l v a x t	d a r ɔ z	b i s j ɔ r	d r ɔ z	d u r		d u r	b i s j ɔ r	d u r	d u r	d a r ɔ z̥		d a v ɔ m n ɔ k	b i s j ɔ r	d u r	d u r	u z a q	ʊ z a q		u z ɔ q		u z ɔ q	u z a q	u z ɔ q t a n	u z ɒ q	u z ɔ q	u z a q	u z ɔ q	u z ɔ q	d a r ɔ z	ɣ e r	ɣ e r	ɣ ɪː r	d i r ʊ + v a n
louse		b i t	b i t	b i t	b i t	b i t	b i t	p i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	p i t	p i t	p i t	p i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	b i t	ʃ a b u ʃ		ʃ a β u ʃ		ʃ a β u ʃ		b i t		ʃ i p ə ʃ	ʃ ə p ʃ	ʃ a p u ʃ	ʃ ə p ə ʃ				ʃ a b u ʃ k	ʃ p ə ʃ		ʃ u b u ʃ k	ʃ p ə ʃ		ʃ ə p ə ʃ	ʃ ø ʃ	ʃ y ʃ		s a b ə s k	ʃ a b ə ʃ	ʃ a β ə ʃ	ʃ ʉ b y ʃ	ʃ a b u ʃ	ʃ a b y ʃ	ʃ ə b y ʃ	ʃ u b u ʃ k	ʃ u b u ʃ k	b i t	b i t	p tʲ e	ʃ u b ə ʃ	b i t	p i t	p i t	p ɪ t	b ɪ t	p ɪ t	b ɪ t	b i t	b i t		ʃ ʊ p ʊ ʃ	ʃ u p u ʃ	ʃ ʊ p ʊ ʃ	ʃ ʊ p ʊ ʃ
man	j ɪ r k e k	j ɪ r k e k	j ɪ r k ɪ k	j ɪ r k e k	j ɪ r k e k	j ɪ r k e k	j ɪ r k ɪ k	j ɛ r k e k	j e r	j e r k ɛ k	j ɛ r	e r k ɛ k	e r k ɛ k	ɛ r k ɛ k	j e r k e k	j ɛ r k ɛ k	ɪ r k ɛ k	ɛ r k ɛ k	ɛ r k ɛ k	ɛ r k ɛ k	ɪ r k ɛ k	ɪ r k ɛ k	ɪ r k e k	ɪ r k ɛ k	ɛ r k ɛ k	j e r	j e r	j ɪ r k e k	j e r k ɛ k	j e r k ɛ k	e r k æ k	j ɛ r	j e r k ɛ k	j e r	j e r	j e r k e k	m a r d	m a r d a k	m a r d	m a r d̥	m a r d̥	m a r d a k	m a r d	m a r d a k	m a r d a k	m a r d a k	m a r d	m a r d a k	m a r d	m a r d a k	m a r d	m a r d	m a r d a k		m a r d	m a r d	m a r d	m a r d a k	m a r d a k	m a r d	m a r d a k	m a r d a k	m a r d	m a r d	m a r d a k	m a r d	m a r d	m a r d a k	m a r d	m a r d̥	j e r k ɛ k	j e r k ɛ k	j e r k ɛ k	ɛ r k a k	ɪ r k a k	ɪ r k ɛ k	e r k ɛ k	j e r k a k	e r k a k	e r k æ k	e r k æ k	ɪ r k a k	ɪ r k a k	m a r d a k	m ɔ r t i t	m ɔ r t i t	m ʊ r t i	m a r d a k
meat	j e t	j ɪ t	j ɪ t	j ɪ t	j e t	j ɪ t	j ɪ t	j e t	j e t	j e t	j e t	e t	e tʲ	j e t	e t	j e t	j ɪ t	j e t	j e t	e tʲ	e t	e t	e t	e t	e t	g ʉ ʃ	g ʉ ʃ	g ʉ ʃ	g ø ʃ	g ʊ ʃ	g ʊ ʃ	g ʉ ʃ	g ʉ ʃ	g ʉ ʃ	g ʉ ʃ	g ʉ ʃ	g u ʃ t	g ø ʃ t	g ø ʃ t	g ø ʃ t	g ø ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g ʊ ʃ t	g u ʃ t	g ʊ ʃ t	g ʊ ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g ʉ ʃ t	g ʉ ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g uː ʃ t	g u ʃ t	g uː ʃ t	g ʊ ʃ t	g ʊ ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g u ʃ t	g ʉ ʃ t	g ʉ ʃ t	g ʉ ʃ	g ʉ ʃ	g ʉ ʃ	g ʉ ʃ t	g ʉ ʃ t	g ʉ ʃ t	g ø ʃ	g w ʉ ʃ t	g w ʉ ʃ t	g ʉ ʃ t	g ʉ ʃ t	g ʉ ʃ t	g ʉ ʃ t	j o t a	j ɔ t a	j ɔ t a	j ɔ t a	j ɔ t a
moon	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	ɒ j	ɒ j	ɒ j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	a j	m ɔ h	m a h	m ɔ h	m a h t ɔ v̥	m a h	m o h	m ɔ h t ɔ b	m a h t ɒ b	m a h t ɔ w	m a f t ɔ w	m ɔ h t ɔ b̥	m ɔ h t ɔ b̥	m a h t ɔ b	m ɔ h t ɔ b̥	m ɔ h t ɔ b	m a h t ɔ w	m a h t ɔ w	m a	m a	m a h t ɔ w	m a h t ɔ b	m a h t ɔ w	m ɔ h	m ɔ h	m ɔ h	m ɔ h t ɔ b	m ɔ h t ɔ b	m ɔ h	m ɔ h	m a h t ɔ b	m a h t ɔ b̥	m a h t ɔ b	m a	m aː	a j	a j	a j	ɔ j	ɒ j	w ɔ j	ɔ j	ɔ j	ɔ j	ɔ j	ɔ j	ɔ j	ɔ j	m a h t ɔ b	m a h t ɔ b	m ɔ h	m ɔ h	
mother	a n a	ʃ ɪ ʃ e	a n a	a n a	a n a	a n a	a n a	a n a	a n a	a n a	a n a	ɛ n ɛ	ɛ n ɛ	ɛ n ɛ	e n ɛ	a p a	ɛ n e	e n ɛ	ɛ n e	ɛ n e	ɛ n ɛ	ɒ p a	e n ɛ	ɒ p a	ɛ n ɛ	a n a	a n a	a n a	a n a	a n a	a n a	a n a	a n a	a n a	a n a	a n a	m ɔ d a r	m ɔ d a r	b iː	ɔ n a	b iː	b u β a	m o d a r	m o d a r	b u v a	b u w a	ɔ tʃ a	ɔ tʃ a	m ʊ d a r	m ɔ d a r	m ɔ d a r	m ɔ d a r	a tʃ a	ɔ n a	ɔ n a	ɔ tʃ a	m ɔ d a r	a tʃ a	b ø v i	b ə v ə	b ø v ø	m ɔ d a r	ɔ c a	m ɔ d a r	ɔ tʃ a	m ɔ d a r	m ɔ d a r	a p a	ɔ n a	ɔ n a	a n a	a p a	a n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ n a	ɔ tʃ a	ɔ tʃ a	ɔ tʃ a	ɔ tʃ a	ɔ tʃ a
mountain	t a w	t a w	t a w	t a w	t a w	t a w	t a w	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t ɔː	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	t a ʊ	k ʉ h	k y h	k ø h	k ø h	k ø h	k ø h	k u h	k ʊ h	k ʊ h	k h̩	k ʊ h	k ʊ h	k u h	k ʉ h	k u h	k h̩	k h̩	t ɔ ɣ̊	b a l a n d i	k h̩	k ʊ h	p ʃ t a	k ʊ h	k u h	k y h	k ʉ h	k ʉ h	k ʉ h	k ʉ h	k u h	k ʉ h	k ʉ h	t ɔ ɣ	t ɔ ɣ̊	t a ʊ	t a ɔ	t a ɔ	t ɔ ɣ̊	t ɔ ɣ	t ɔ ɣ̊	t ɔ ɣ̊	t ɔ x	t ɒ ɣ̊	t ɔ ɣ̊	t ɔ ɣ̊	t ɔ ɣ̊	t ɔ ɣ̊	ɣ a r	ɣ a r	ɣ a r	ɣ ɔ r	
